地名,センター,燃やして処理するごみ,燃やさないで処理するごみ,衣類,資源物,有害ごみ,粗大ごみ（ふとん類含む）,家電４品目,直接持ち込みごみ,受け入れしないごみ, ,
綾部地区（紫水ヶ丘）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,水3:11 12; 木3:9; 金3:2; 火4:10; 木4:6 7 8 1; 金4:4 3; 木5:5,水3:11 12; 木3:9; 金3:2; 火4:10; 木4:6 7 8 1; 金4:4 3; 木5:5,,,,,,
綾部地区（寺町東）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,木1:11 12; 金1:9 2; 火2:10; 木2:8 1 3; 金2:6 7; 火3:4; 金3:5,木1:11 12; 金1:9 2; 火2:10; 木2:8 1 3; 金2:6 7; 火3:4; 金3:5,,,,,,
綾部地区（寺町西）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,木1:11 12; 金1:9 2; 火2:10; 木2:8 1 3; 金2:6 7; 火3:4; 金3:5,木1:11 12; 金1:9 2; 火2:10; 木2:8 1 3; 金2:6 7; 火3:4; 金3:5,,,,,,
綾部地区（田野町）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,水1:8 11 12; 木1:9 2; 金1:10; 火2:3; 水2:1; 木2:6 7; 金2:4; 木3:5,水1:8 11 12; 木1:9 2; 金1:10; 火2:3; 水2:1; 木2:6 7; 金2:4; 木3:5,,,,,,
綾部地区（上野町）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,水1:8 11 12; 木1:9 2; 金1:10; 火2:3; 水2:1; 木2:6 7; 金2:4; 木3:5,水1:8 11 12; 木1:9 2; 金1:10; 火2:3; 水2:1; 木2:6 7; 金2:4; 木3:5,,,,,,
綾部地区（田町）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火1:9 2; 水1:10; 木1:3; 金1:6 7 8; 火2:4; 金2:5; 金4:12; 木5:10; 金5:11,火1:9 2; 水1:10; 木1:3; 金1:6 7 8; 火2:4; 金2:5; 金4:12; 木5:10; 金5:11,,,,,,
綾部地区（東本町）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火1:4; 水1:5; 木3:11 12; 金3:9; 木4:10 2; 金4:6 7 8 1; 金5:5,火1:4; 水1:5; 木3:11 12; 金3:9; 木4:10 2; 金4:6 7 8 1; 金5:5,,,,,,
綾部地区（西本町）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火1:4; 水1:5; 木3:11 12; 金3:9; 木4:10 2; 金4:6 7 8 1; 金5:5,火1:4; 水1:5; 木3:11 12; 金3:9; 木4:10 2; 金4:6 7 8 1; 金5:5,,,,,,
綾部地区（新宮町）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火1:9 2; 水1:10; 木1:3; 金1:6 7 8; 火2:4; 金2:5; 金4:12; 木5:10; 金5:11,火1:9 2; 水1:10; 木1:3; 金1:6 7 8; 火2:4; 金2:5; 金4:12; 木5:10; 金5:11,,,,,,
綾部地区（新町）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火1:9 2; 水1:10; 木1:3; 金1:6 7 8; 火2:4; 金2:5; 金4:12; 木5:10; 金5:11,火1:9 2; 水1:10; 木1:3; 金1:6 7 8; 火2:4; 金2:5; 金4:12; 木5:10; 金5:11,,,,,,
